symbol,bidPrice,bidQty,askPrice,askQty
BTCBIDR,566376448.0,0.06358,566700000.0,0.0009
ETHBIDR,37696083.0,0.3856,37725552.0,1.184
BTCNGN,22792318.0,0.01696,22926436.0,0.0264
BNBBIDR,5597544.0,1.419,5602786.0,5.144
BNBIDRT,5562107.0,1.286,5586155.0,0.005
BTCRUB,4852673.0,0.008,4866023.0,0.15277
LUNABIDR,1306496.0,5.5,1313248.0,5.49
BTCUAH,1231502.0,0.03051,1234250.0,0.03051
SOLBIDR,1212653.0,2.9803,1214900.0,9.4949
AVAXBIDR,1085979.0,5.31,1092186.0,5.28
ETHNGN,767360.0,0.48933,809990.0,0.02
AXSBIDR,678000.0,0.801,680000.0,1.263
BTCTRY,570102.0,0.01507,570542.0,0.15276
ATOMBIDR,420874.0,103.45,423916.0,206.923
ETHRUB,323219.6,0.077,323750.9,0.0767
DOTBIDR,249759.0,17.14,250235.0,15.03
BTCBRL,200218.0,0.1728,200419.0,0.00129
ALICEBIDR,88958.0,129.13,89423.0,0.5
ETHUAH,81915.0,0.3819,82313.0,0.0085
LTCNGN,76565.0,0.14778,255382.0,0.002
BTCAUD,54034.88,0.00115,54070.96,0.07628
BNBRUB,47956.14,3.486,48115.76,1.021
SANDBIDR,41287.0,139.8,41510.0,173.93
BTCUSDP,39385.58,0.01014,39459.15,0.01621
BTCDAI,39310.13,0.01271,39351.89,0.05085
BTCUSDT,39303.89,2.64297,39303.9,0.00091
BTCUSDC,39297.82,0.01316,39297.83,0.00026
BTCTUSD,39288.27,0.00299,39313.09,0.03052
BTCBUSD,39275.89,0.29386,39275.9,0.00511
ETHTRY,37981.0,1.3762,37998.0,1.2752
BTCEUR,36016.06,4.25702,36028.66,0.08907
MANABIDR,34774.0,372.08,34982.0,113.13
BTCGBP,29999.71,1.52349,30015.44,0.00218
MATICBIDR,21243.0,567.6,21304.0,677.2
FTMBIDR,19752.0,113.6,19816.0,509.9
YFIUSDT,19708.02,0.02522,19718.83,0.00896
YFIBUSD,19704.9,0.02029,19726.84,0.01069
YFIEUR,18076.69,0.02026,18127.59,0.0093
BNBNGN,18000.0,0.277,0.0,0.0
USDTBIDR,14405.0,0.6,14406.0,2.6
BUSDBIDR,14400.0,5964.0,14401.0,185.6
USDTIDRT,14369.0,323.0,14382.0,316.0
ETHBRL,13317.61,1.3371,13330.02,1.3371
LTCRUB,12696.8,0.974,12767.3,10.674
BNBUAH,12167.0,0.1,12218.0,0.1
ADABIDR,11689.0,861.5,11718.0,2462.1
XRPBIDR,10498.0,599.7,10514.0,685.4
SOLRUB,10387.0,37.57,10443.0,3.56
TKOBIDR,9407.62,142.5,9429.72,281.6
BNBTRY,5637.0,3.648,5640.0,1.07
ETHAUD,3597.56,0.6,3598.25,0.7642
LTCUAH,3229.0,0.15,3245.0,8.721
ETHUSDP,2619.11,1.897,2626.41,0.2555
ETHUSDT,2617.51,38.1532,2617.52,1.2907
ETHDAI,2617.06,0.6,2617.99,0.6
ETHUSDC,2616.31,0.9344,2616.93,0.037
ETHTUSD,2616.19,1.1347,2618.03,0.1146
ETHBUSD,2615.93,7.6244,2615.94,0.1147
ETHUST,2603.81,0.012,2608.33,0.5729
NEORUB,2484.0,23.702,2637.0,0.379
ETHEUR,2398.45,0.0099,2399.24,0.7648
DOTRUB,2143.0,77.25,2155.0,22.8
PAXGBUSD,2051.0,0.9128,2052.0,1.2783
PAXGUSDT,2050.0,40.8416,2051.0,27.8824
ETHGBP,1996.86,1.5279,1998.65,1.5279
BNBBRL,1978.0,3.859,1979.0,0.062
YFIIBUSD,1923.0,0.0069,1925.0,0.104
YFIIUSDT,1922.0,0.202,1923.0,0.1566
MKRUSDT,1792.0,0.5494,1793.0,0.2581
MKRBUSD,1791.0,1.1067,1793.0,0.022
DOGEBIDR,1709.0,9605.0,1713.0,2851.0
BIFIBUSD,1578.3,0.335,1585.3,2.001
LUNATRY,1316.1,37.49,1319.2,1.5
NEARRUB,1233.0,96.283,1244.0,199.898
SOLTRY,1222.2,21.38,1223.2,5.07
AVAXTRY,1098.5,41.59,1098.6,0.02
AXSTRY,682.0,4.401,686.9,10.617
ZILBIDR,596.0,658.0,597.0,11299.0
USDTNGN,581.9,315.1,582.3,224.5
BNBAUD,534.0,2.86,534.6,0.1
LTCBRL,524.1,3.036,525.1,7.292
ILVBUSD,510.1,0.086,511.0,0.03
ILVUSDT,510.0,0.066,510.7,0.5
LUNABRL,461.2,11.019,462.8,15.402
BUSDNGN,460.49,354.77,476.85,66.28
SOLBRL,428.5,9.5,428.8,9.5
ATOMTRY,425.3,118.224,425.9,9.926
AUTOBUSD,399.1,0.038,399.7,0.039
AUTOUSDT,398.3,0.753,399.2,0.123
BNBUSDT,388.6,247.217,388.7,75.584
BNBTUSD,388.6,2.315,389.0,2.315
